CEP Inicio;CEP Fim;Peso M�nimo (kg);Peso M�ximo (kg)
1000000;5999999;0;10
1000000;5999999;10;20
1000000;5999999;20;30
1000000;5999999;30;40
1000000;5999999;40;60
1000000;5999999;60;100
6000000;9999999;0;10
6000000;9999999;10;20
6000000;9999999;20;30
6000000;9999999;30;40
6000000;9999999;40;60
6000000;9999999;60;100
11000000;11999999;0;10
11000000;11999999;10;20
11000000;11999999;20;30
11000000;11999999;30;40
11000000;11999999;40;60
11000000;11999999;60;100
12000000;19999999;0;10
12000000;19999999;10;20
12000000;19999999;20;30
12000000;19999999;30;40
12000000;19999999;40;60
12000000;19999999;60;100
20000000;26600999;0;10
20000000;26600999;10;20
20000000;26600999;20;30
20000000;26600999;30;40
20000000;26600999;40;60
20000000;26600999;60;100
26601000;28999999;0;10
26601000;28999999;10;20
26601000;28999999;20;30
26601000;28999999;30;40
26601000;28999999;40;60
26601000;28999999;60;100
29000000;29099999;0;10
29000000;29099999;10;20
29000000;29099999;20;30
29000000;29099999;30;40
29000000;29099999;40;60
29000000;29099999;60;100
29100000;29999999;0;10
29100000;29999999;10;20
29100000;29999999;20;30
29100000;29999999;30;40
29100000;29999999;40;60
29100000;29999999;60;100
30000000;34999999;0;10
30000000;34999999;10;20
30000000;34999999;20;30
30000000;34999999;30;40
30000000;34999999;40;60
30000000;34999999;60;100
35000000;39999999;0;10
35000000;39999999;10;20
35000000;39999999;20;30
35000000;39999999;30;40
35000000;39999999;40;60
35000000;39999999;60;100
40000000;44470999;0;10
40000000;44470999;10;20
40000000;44470999;20;30
40000000;44470999;30;40
40000000;44470999;40;60
40000000;44470999;60;100
44471000;48999999;0;10
44471000;48999999;10;20
44471000;48999999;20;30
44471000;48999999;30;40
44471000;48999999;40;60
44471000;48999999;60;100
49000000;49099999;0;10
49000000;49099999;10;20
49000000;49099999;20;30
49000000;49099999;30;40
49000000;49099999;40;60
49000000;49099999;60;100
49100000;49999999;0;10
49100000;49999999;10;20
49100000;49999999;20;30
49100000;49999999;30;40
49100000;49999999;40;60
49100000;49999999;60;100
50000000;54999999;0;10
50000000;54999999;10;20
50000000;54999999;20;30
50000000;54999999;30;40
