PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;10.00;1000001;5999999;50,12;10
;20.00;1000001;5999999;60,32;10
;30.00;1000001;5999999;60,32;10
;40.00;1000001;5999999;80,03;10
;50.00;1000001;5999999;80,03;10
;60.00;1000001;5999999;99,75;10
;70.00;1000001;5999999;99,75;10
;80.00;1000001;5999999;115,85;10
;90.00;1000001;5999999;115,85;10
;100.00;1000001;5999999;115,85;10
;10.00;1000001;5999999;63,31;5
;20.00;1000001;5999999;75,29;5
;35.00;1000001;5999999;92,3;5
;50.00;1000001;5999999;108,4;5
;70.00;1000001;5999999;120,7;5
;10.00;6000001;6299999;50,12;10
;20.00;6000001;6299999;60,32;10
;30.00;6000001;6299999;60,32;10
;40.00;6000001;6299999;80,03;10
;50.00;6000001;6299999;80,03;10
;60.00;6000001;6299999;99,75;10
;70.00;6000001;6299999;99,75;10
;80.00;6000001;6299999;115,85;10
;90.00;6000001;6299999;115,85;10
;100.00;6000001;6299999;115,85;10
;10.00;6000001;6299999;63,31;6
;20.00;6000001;6299999;75,29;6
;35.00;6000001;6299999;92,3;6
;50.00;6000001;6299999;108,4;6
;70.00;6000001;6299999;120,7;6
;10.00;6300001;6399999;50,12;10
;20.00;6300001;6399999;60,32;10
;30.00;6300001;6399999;60,32;10
;40.00;6300001;6399999;80,03;10
;50.00;6300001;6399999;80,03;10
;60.00;6300001;6399999;99,75;10
;70.00;6300001;6399999;99,75;10
;80.00;6300001;6399999;115,85;10
;90.00;6300001;6399999;115,85;10
;100.00;6300001;6399999;115,85;10
;10.00;6300001;6399999;48,53;6
;20.00;6300001;6399999;57,72;6
;35.00;6300001;6399999;70,77;6
;50.00;6300001;6399999;83,12;6
;70.00;6300001;6399999;92,58;6
;10.00;6400001;6499999;50,12;10
;20.00;6400001;6499999;60,32;10
;30.00;6400001;6499999;60,32;10
;40.00;6400001;6499999;80,03;10
;50.00;6400001;6499999;80,03;10
;60.00;6400001;6499999;99,75;10
;70.00;6400001;6499999;99,75;10
;80.00;6400001;6499999;115,85;10
;90.00;6400001;6499999;115,85;10
;100.00;6400001;6499999;115,85;10
;10.00;6400001;6499999;48,53;6
;20.00;6400001;6499999;57,72;6
;35.00;6400001;6499999;70,77;6
;50.00;6400001;6499999;83,12;6
;70.00;6400001;6499999;92,58;6
;10.00;6500001;6549999;50,12;10
;20.00;6500001;6549999;60,32;10
;30.00;6500001;6549999;60,32;10
;40.00;6500001;6549999;80,03;10
;50.00;6500001;6549999;80,03;10
;60.00;6500001;6549999;99,75;10
;70.00;6500001;6549999;99,75;10
;80.00;6500001;6549999;115,85;10
;90.00;6500001;6549999;115,85;10
;100.00;6500001;6549999;115,85;10
;10.00;6500001;6549999;48,53;6
;20.00;6500001;6549999;57,72;6
;35.00;6500001;6549999;70,77;6
;50.00;6500001;6549999;83,12;6
;70.00;6500001;6549999;92,58;6
;10.00;6550000;6599999;50,12;10
;20.00;6550000;6599999;60,32;10
;30.00;6550000;6599999;60,32;10
;40.00;6550000;6599999;80,03;10
;50.00;6550000;6599999;80,03;10
;60.00;6550000;6599999;99,75;10
;70.00;6550000;6599999;99,75;10
;80.00;6550000;6599999;115,85;10
;90.00;6550000;6599999;115,85;10
;100.00;6550000;6599999;115,85;10
;10.00;6550000;6599999;63,31;6
;20.00;6550000;6599999;75,29;6
;35.00;6550000;6599999;92,3;6
;50.00;6550000;6599999;108,4;6
;70.00;6550000;6599999;120,7;6
;10.00;6600001;6649999;50,12;10
;20.00;6600001;6649999;60,32;10
;30.00;6600001;6649999;60,32;10
;40.00;6600001;6649999;80,03;10
;50.00;6600001;6649999;80,03;10
;60.00;6600001;6649999;99,75;10
;70.00;6600001;6649999;99,75;10
;80.00;6600001;6649999;115,85;10
;90.00;6600001;6649999;115,85;10
;100.00;6600001;6649999;115,85;10
;10.00;6600001;6649999;48,53;6
;20.00;6600001;6649999;57,72;6
;35.00;6600001;6649999;70,77;6
;50.00;6600001;6649999;83,12;6
;70.00;6600001;6649999;92,58;6
;10.00;6650001;6699999;50,12;10
;20.00;6650001;6699999;60,32;10
;30.00;6650001;6699999;60,32;10
;40.00;6650001;6699999;80,03;10
;50.00;6650001;6699999;80,03;10
;60.00;6650001;6699999;99,75;10
;70.00;6650001;6699999;99,75;10
;80.00;6650001;6699999;115,85;10
;90.00;6650001;6699999;115,85;10
;100.00;6650001;6699999;115,85;10
;10.00;6650001;6699999;63,31;6
;20.00;6650001;6699999;75,29;6
;35.00;6650001;6699999;92,3;6
;50.00;6650001;6699999;108,4;6
;70.00;6650001;6699999;120,7;6
;10.00;6700001;6729999;50,12;10
;20.00;6700001;6729999;60,32;10
;30.00;6700001;6729999;60,32;10
;40.00;6700001;6729999;80,03;10
;50.00;6700001;6729999;80,03;10
;60.00;6700001;6729999;99,75;10
;70.00;6700001;6729999;99,75;10
;80.00;6700001;6729999;115,85;10
;90.00;6700001;6729999;115,85;10
;100.00;6700001;6729999;115,85;10
;10.00;6700001;6729999;48,53;6
;20.00;6700001;6729999;57,72;6
;35.00;6700001;6729999;70,77;6
;50.00;6700001;6729999;83,12;6
;70.00;6700001;6729999;92,58;6
;10.00;6730000;6749999;50,12;10
;20.00;6730000;6749999;60,32;10
;30.00;6730000;6749999;60,32;10
;40.00;6730000;6749999;80,03;10
;50.00;6730000;6749999;80,03;10
;60.00;6730000;6749999;99,75;10
;70.00;6730000;6749999;99,75;10
;80.00;6730000;6749999;115,85;10
;90.00;6730000;6749999;115,85;10
;100.00;6730000;6749999;115,85;10
;10.00;6730000;6749999;48,53;4
;20.00;6730000;6749999;57,72;4
;35.00;6730000;6749999;70,77;4
;50.00;6730000;6749999;83,12;4
;70.00;6730000;6749999;92,58;4
;10.00;6750001;6799999;50,12;10
;20.00;6750001;6799999;60,32;10
;30.00;6750001;6799999;60,32;10
;40.00;6750001;6799999;80,03;10
;50.00;6750001;6799999;80,03;10
;60.00;6750001;6799999;99,75;10
;70.00;6750001;6799999;99,75;10
;80.00;6750001;6799999;115,85;10
;90.00;6750001;6799999;115,85;10
;100.00;6750001;6799999;115,85;10
;10.00;6750001;6799999;48,53;6
;20.00;6750001;6799999;57,72;6
;35.00;6750001;6799999;70,77;6
;50.00;6750001;6799999;83,12;6
;70.00;6750001;6799999;92,58;6
;10.00;6800001;6849999;50,12;10
;20.00;6800001;6849999;60,32;10
;30.00;6800001;6849999;60,32;10
;40.00;6800001;6849999;80,03;10
;50.00;6800001;6849999;80,03;10
